CustomerKey,First trade,Last trade,Total volume,Number of trade,% bike,% clothing,% accessories
21768,01/01/2014,16/04/2016,"7696,53",2,"100,00%","0,00%","0,00%"
28389,01/01/2014,01/01/2014,"6799,98",1,"100,00%","0,00%","0,00%"
25863,01/01/2014,27/07/2016,"8031,1",5,"40,00%","0,00%","60,00%"
14501,01/01/2014,14/07/2016,"3693,1864",2,"100,00%","0,00%","0,00%"
11003,01/01/2014,11/05/2016,"11539,28",9,"33,33%","11,11%","55,56%"
27645,02/01/2014,22/11/2016,"16786,12",5,"40,00%","0,00%","60,00%"
16624,02/01/2014,25/12/2016,"16673,06",4,"50,00%","0,00%","50,00%"
11005,02/01/2014,03/05/2016,"27760,78",6,"50,00%","0,00%","50,00%"
11011,02/01/2014,20/03/2016,"18333,01",4,"75,00%","25,00%","0,00%"
27621,03/01/2014,23/11/2016,"8364,39",3,"66,67%","33,33%","0,00%"
27616,03/01/2014,12/11/2016,"5998,61",5,"40,00%","0,00%","60,00%"
20042,03/01/2014,04/03/2016,"3150,3982",3,"66,67%","0,00%","33,33%"
16351,03/01/2014,05/12/2016,"5873,26",2,"100,00%","0,00%","0,00%"
16517,03/01/2014,23/03/2016,"4698,76",2,"100,00%","0,00%","0,00%"
27606,04/01/2014,22/11/2016,"5997,33",3,"66,67%","0,00%","33,33%"
13513,04/01/2014,06/12/2016,"8258,21",4,"50,00%","0,00%","50,00%"
27601,05/01/2014,05/01/2014,"3578,27",1,"100,00%","0,00%","0,00%"
13591,05/01/2014,11/07/2016,"17802,21",9,"33,33%","11,11%","55,56%"
16483,05/01/2014,24/11/2016,"5738,23",2,"100,00%","0,00%","0,00%"
16529,05/01/2014,20/06/2016,"4752,75",3,"66,67%","33,33%","0,00%"
25249,05/01/2014,24/08/2016,"1868,5582",5,"40,00%","0,00%","60,00%"
27668,06/01/2014,14/11/2016,"6006,56",6,"33,33%","0,00%","66,67%"
27612,06/01/2014,06/01/2014,"3578,27",1,"100,00%","0,00%","0,00%"
13264,06/01/2014,09/10/2016,"14375,44",8,"50,00%","0,00%","50,00%"
13590,06/01/2014,23/07/2016,"8306,3",6,"50,00%","0,00%","50,00%"
13581,07/01/2014,11/06/2016,"8374,79",8,"37,50%","12,50%","50,00%"
14520,07/01/2014,09/06/2016,"1503,5782",3,"66,67%","0,00%","33,33%"
16520,07/01/2014,08/04/2016,"4727,74",4,"50,00%","0,00%","50,00%"
13258,08/01/2014,16/12/2016,"12464,8",10,"40,00%","0,00%","60,00%"
14560,08/01/2014,03/06/2016,"2237,6764",3,"66,67%","33,33%","0,00%"
16607,08/01/2014,09/12/2016,"9475,8",4,"50,00%","0,00%","50,00%"
27666,09/01/2014,09/01/2014,"14313,08",1,"100,00%","0,00%","0,00%"
11238,09/01/2014,01/05/2016,"17742,74",9,"44,44%","11,11%","44,44%"
25861,09/01/2014,09/01/2014,"13599,96",1,"100,00%","0,00%","0,00%"
16629,09/01/2014,12/12/2016,"16668,07",3,"66,67%","0,00%","33,33%"
11025,09/01/2014,27/10/2016,"16701,77",6,"50,00%","33,33%","16,67%"
27577,09/01/2014,09/01/2014,"14313,08",1,"100,00%","0,00%","0,00%"
27604,10/01/2014,10/01/2014,"3578,27",1,"100,00%","0,00%","0,00%"
16522,10/01/2014,10/04/2016,"4698,76",2,"100,00%","0,00%","0,00%"
11002,10/01/2014,27/02/2016,"8114,04",4,"75,00%","0,00%","25,00%"
13261,11/01/2014,02/10/2016,"7200,58",6,"66,67%","0,00%","33,33%"
11606,11/01/2014,30/06/2016,"5922,23",5,"40,00%","20,00%","40,00%"
13563,11/01/2014,09/08/2016,"13058,11",5,"40,00%","0,00%","60,00%"
16527,11/01/2014,27/06/2016,"4752,75",3,"66,67%","33,33%","0,00%"
27671,12/01/2014,16/11/2016,"8416,39",3,"66,67%","0,00%","33,33%"
13576,12/01/2014,23/06/2016,"8330,79",7,"42,86%","14,29%","42,86%"
11007,12/01/2014,20/03/2016,8211,8,"37,50%","0,00%","62,50%"
16631,12/01/2014,24/12/2016,"5900,55",3,"66,67%","0,00%","33,33%"
16514,13/01/2014,14/02/2016,"4761,74",4,"50,00%","50,00%","0,00%"
16616,13/01/2014,07/12/2016,"12927,35",5,"40,00%","0,00%","60,00%"
27623,14/01/2014,09/11/2016,"8390,27",5,"40,00%","0,00%","60,00%"
27625,14/01/2014,12/11/2016,"5971,33",3,"66,67%","33,33%","0,00%"
27636,14/01/2014,29/11/2016,"6011,31",5,"40,00%","0,00%","60,00%"
11591,14/01/2014,24/05/2016,"12846,15",3,"66,67%","0,00%","33,33%"
11592,14/01/2014,13/05/2016,"5875,55",3,"66,67%","0,00%","33,33%"
13265,14/01/2014,08/11/2016,"9573,58",8,"50,00%","0,00%","50,00%"
16482,14/01/2014,24/02/2016,"5989,21",4,"50,00%","25,00%","25,00%"
27617,15/01/2014,30/11/2016,"11952,64",4,"50,00%","0,00%","50,00%"
27670,15/01/2014,06/11/2016,"9554,59",4,"50,00%","0,00%","50,00%"
19941,15/01/2014,08/12/2016,"3777,1564",6,"33,33%","16,67%","50,00%"
11017,15/01/2014,16/10/2016,"9809,3",4,"75,00%","0,00%","25,00%"
27646,16/01/2014,23/11/2016,"19151,2",3,"66,67%","0,00%","33,33%"
13257,16/01/2014,08/12/2016,"19676,09",9,"44,44%","11,11%","44,44%"
16352,16/01/2014,03/12/2016,"16683,3",6,"33,33%","0,00%","66,67%"
16493,16/01/2014,22/12/2016,"14932,06",3,"66,67%","33,33%","0,00%"
27578,17/01/2014,17/01/2014,"3578,27",1,"100,00%","0,00%","0,00%"
16525,17/01/2014,07/05/2016,"4752,75",3,"66,67%","33,33%","0,00%"
16612,17/01/2014,29/12/2016,"5898,26",2,"100,00%","0,00%","0,00%"
11010,17/01/2014,24/05/2016,"15267,22",4,"75,00%","25,00%","0,00%"
16518,18/01/2014,27/03/2016,"4698,76",2,"100,00%","0,00%","0,00%"
11001,18/01/2014,12/12/2016,"8803,81",11,"27,27%","18,18%","54,55%"
27649,19/01/2014,19/01/2014,"3578,27",1,"100,00%","0,00%","0,00%"
21659,19/01/2014,07/11/2016,"4143,74",4,"50,00%","0,00%","50,00%"
27614,19/01/2014,19/01/2014,"3578,27",1,"100,00%","0,00%","0,00%"
14559,19/01/2014,05/06/2016,"1547,5682",4,"50,00%","50,00%","0,00%"
16524,19/01/2014,30/04/2016,"4733,75",3,"66,67%","0,00%","33,33%"
16526,19/01/2014,13/06/2016,"4758,24",4,"50,00%","25,00%","25,00%"
16348,19/01/2014,25/12/2016,"5918,24",4,"50,00%","0,00%","50,00%"
11027,19/01/2014,26/10/2016,"16166,31",9,"33,33%","22,22%","44,44%"
13260,20/01/2014,14/08/2016,"7990,9",8,"50,00%","12,50%","37,50%"
16515,20/01/2014,19/03/2016,"4733,75",3,"66,67%","0,00%","33,33%"
11018,20/01/2014,26/10/2016,"11249,21",7,"42,86%","0,00%","57,14%"
25252,20/01/2014,23/08/2016,"5474,8982",6,"33,33%","16,67%","50,00%"
11599,21/01/2014,14/06/2016,"8336,17",6,"33,33%","16,67%","50,00%"
16495,21/01/2014,07/12/2016,"13274,11",6,"33,33%","16,67%","50,00%"
16516,21/01/2014,14/03/2016,"5889,23",3,"66,67%","0,00%","33,33%"
16620,21/01/2014,05/12/2016,"5895,24",3,"66,67%","0,00%","33,33%"
27667,22/01/2014,30/11/2016,"16832,78",3,"66,67%","0,00%","33,33%"
11601,22/01/2014,09/06/2016,"9510,49",6,"33,33%","16,67%","50,00%"
11607,22/01/2014,12/06/2016,"9491,51",4,"50,00%","0,00%","50,00%"
29385,22/01/2014,22/01/2014,"6799,98",1,"100,00%","0,00%","0,00%"
11239,22/01/2014,29/05/2016,"10886,54",11,"36,36%","9,09%","54,55%"
25865,22/01/2014,09/07/2016,"8018,82",3,"66,67%","33,33%","0,00%"
25857,22/01/2014,22/01/2014,"6799,98",1,"100,00%","0,00%","0,00%"
16484,22/01/2014,05/11/2016,"7753,8",5,"40,00%","0,00%","60,00%"
16623,22/01/2014,10/12/2016,"9551,51",5,"40,00%","0,00%","60,00%"
11000,22/01/2014,04/05/2016,"11648,98",8,"37,50%","12,50%","50,00%"
11029,22/01/2014,14/11/2016,"12374,25",7,"42,86%","14,29%","42,86%"
27615,23/01/2014,11/11/2016,"16733,42",5,"40,00%","0,00%","60,00%"
17956,23/01/2014,09/09/2016,"4528,6528",5,"40,00%","0,00%","60,00%"
16345,23/01/2014,19/10/2016,"16692,96",4,"50,00%","0,00%","50,00%"
16521,23/01/2014,03/04/2016,"15433,57",2,"100,00%","0,00%","0,00%"
16636,23/01/2014,12/12/2016,"16667,55",4,"50,00%","25,00%","25,00%"
21710,24/01/2014,12/11/2016,"4187,23",5,"40,00%","0,00%","60,00%"
13583,24/01/2014,08/06/2016,"22766,35",8,"37,50%","25,00%","37,50%"
11593,24/01/2014,21/06/2016,"8238,23",3,"66,67%","0,00%","33,33%"
21741,25/01/2014,03/03/2016,"4127,25",3,"66,67%","33,33%","0,00%"
13585,25/01/2014,20/07/2016,"8368,29",6,"50,00%","16,67%","33,33%"
14510,25/01/2014,24/07/2016,"3036,3682",5,"40,00%","0,00%","60,00%"
16523,25/01/2014,08/04/2016,"4698,76",2,"100,00%","0,00%","0,00%"
11611,26/01/2014,30/06/2016,"5873,26",2,"100,00%","0,00%","0,00%"
13259,26/01/2014,21/11/2016,"7853,49",14,"28,57%","21,43%","50,00%"
16350,26/01/2014,25/12/2016,"5903,19",4,"50,00%","0,00%","50,00%"
11004,26/01/2014,02/05/2016,"10615,07",6,"50,00%","0,00%","50,00%"
11026,26/01/2014,17/10/2016,"8975,26",7,"42,86%","14,29%","42,86%"
27662,27/01/2014,05/11/2016,"5997,33",3,"66,67%","0,00%","33,33%"
28390,27/01/2014,27/01/2014,"3374,99",1,"100,00%","0,00%","0,00%"
25866,27/01/2014,07/08/2016,"4603,82",4,"50,00%","0,00%","50,00%"
16494,27/01/2014,18/12/2016,"5961,2",4,"50,00%","0,00%","50,00%"
16496,27/01/2014,27/12/2016,"8342,19",5,"40,00%","0,00%","60,00%"
16519,27/01/2014,11/04/2016,"4752,75",3,"66,67%","33,33%","0,00%"
16528,27/01/2014,23/06/2016,"4698,76",2,"100,00%","0,00%","0,00%"
11006,27/01/2014,15/05/2016,"8119,03",5,"60,00%","0,00%","40,00%"
27651,28/01/2014,22/11/2016,"6021,82",4,"50,00%","25,00%","25,00%"
27663,28/01/2014,19/11/2016,"6047,32",4,"50,00%","25,00%","25,00%"
27669,28/01/2014,09/11/2016,"8416,39",3,"66,67%","0,00%","33,33%"
19942,28/01/2014,21/12/2016,"10038,9782",4,"50,00%","0,00%","50,00%"
14558,28/01/2014,13/06/2016,"1528,0682",4,"50,00%","25,00%","25,00%"
16349,28/01/2014,20/12/2016,"8218,25",2,"100,00%","0,00%","0,00%"
11008,28/01/2014,03/03/2016,"15043,09",7,"42,86%","0,00%","57,14%"
25250,28/01/2014,29/08/2016,"3068,0182",5,"40,00%","0,00%","60,00%"
27605,29/01/2014,29/01/2014,"7156,54",1,"100,00%","0,00%","0,00%"
27611,29/01/2014,29/01/2014,"7156,54",1,"100,00%","0,00%","0,00%"
16347,29/01/2014,24/12/2016,"9496,77",5,"40,00%","0,00%","60,00%"
11028,29/01/2014,09/10/2016,"9849,61",5,"60,00%","0,00%","40,00%"
13584,29/01/2014,27/07/2016,"11939,56",7,"42,86%","0,00%","57,14%"
21727,30/01/2014,29/11/2016,"14867,05",4,"50,00%","0,00%","50,00%"
28393,30/01/2014,02/08/2016,"18157,84",4,"50,00%","25,00%","25,00%"
19802,30/01/2014,30/01/2014,"13499,96",1,"100,00%","0,00%","0,00%"
26620,30/01/2014,30/01/2014,"2796,3928",1,"100,00%","0,00%","0,00%"
11009,30/01/2014,10/05/2016,"25473,48",5,"60,00%","0,00%","40,00%"
27641,31/01/2014,01/11/2016,"5962,34",2,"100,00%","0,00%","0,00%"
27673,31/01/2014,31/01/2014,"3578,27",1,"100,00%","0,00%","0,00%"
17957,31/01/2014,26/09/2016,"2435,0782",3,"66,67%","0,00%","33,33%"
13406,31/01/2014,20/11/2016,"8077,89",9,"44,44%","0,00%","55,56%"
16630,31/01/2014,07/12/2016,"13158,15",5,"40,00%","0,00%","60,00%"
22041,01/02/2014,24/12/2016,"4167,23",5,"40,00%","0,00%","60,00%"
12124,01/02/2014,09/10/2016,"13195,64",12,"41,67%","8,33%","50,00%"
28066,01/02/2014,27/11/2016,"5997,33",3,"66,67%","0,00%","33,33%"
16743,01/02/2014,30/03/2016,"6070,59",5,"40,00%","0,00%","60,00%"
13546,01/02/2014,14/12/2016,"12938,15",4,"50,00%","0,00%","50,00%"
28018,02/02/2014,02/02/2014,"3578,27",1,"100,00%","0,00%","0,00%"
12132,02/02/2014,19/10/2016,"22996,45",14,"35,71%","0,00%","64,29%"
16661,02/02/2014,11/12/2016,"5908,25",3,"66,67%","0,00%","33,33%"
11055,03/02/2014,09/06/2016,"8168,01",8,"37,50%","0,00%","62,50%"
16662,03/02/2014,21/01/2016,"6688,03",3,"66,67%","0,00%","33,33%"
16740,03/02/2014,18/02/2016,"13661,59",5,"40,00%","20,00%","40,00%"
25270,03/02/2014,20/08/2016,"1854,5782",3,"66,67%","0,00%","33,33%"
28038,04/02/2014,24/11/2016,"13206,43",5,"40,00%","20,00%","40,00%"
13548,04/02/2014,29/12/2016,"5908,25",3,"66,67%","0,00%","33,33%"
16741,04/02/2014,21/03/2016,"8534,95",3,"66,67%","0,00%","33,33%"
11031,04/02/2014,16/11/2016,"7234,93",6,"50,00%","0,00%","50,00%"
11034,04/02/2014,13/11/2016,"6491,32",4,"75,00%","25,00%","0,00%"
20048,05/02/2014,29/07/2016,"3841,5464",2,"100,00%","0,00%","0,00%"
28065,05/02/2014,18/11/2016,"9575,6",3,"66,67%","0,00%","33,33%"
17047,05/02/2014,04/04/2016,"7926,03",2,"100,00%","0,00%","0,00%"
16686,05/02/2014,26/12/2016,7736,5,"40,00%","20,00%","40,00%"
16659,05/02/2014,11/12/2016,"9451,53",2,"100,00%","0,00%","0,00%"
25294,05/02/2014,27/08/2016,"2581,6664",4,"50,00%","50,00%","0,00%"
13600,06/02/2014,04/07/2016,"21657,09",11,"27,27%","18,18%","54,55%"
17051,06/02/2014,29/04/2016,"16795,31",5,"40,00%","0,00%","60,00%"
14565,06/02/2014,25/06/2016,"3600,8728",3,"66,67%","0,00%","33,33%"
11054,06/02/2014,01/06/2016,"25680,17",6,"50,00%","16,67%","33,33%"
16675,06/02/2014,20/02/2016,"15119,84",5,"40,00%","0,00%","60,00%"
16687,06/02/2014,20/01/2016,"19297,72",5,"40,00%","0,00%","60,00%"
16712,06/02/2014,17/04/2016,"15152,56",3,"66,67%","33,33%","0,00%"
11047,06/02/2014,22/11/2016,"16782,3",4,"75,00%","0,00%","25,00%"
27726,07/02/2014,07/02/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28014,07/02/2014,07/02/2014,"3578,27",1,"100,00%","0,00%","0,00%"
16696,07/02/2014,08/03/2016,"7292,23",3,"66,67%","0,00%","33,33%"
16639,07/02/2014,21/12/2016,"12898,19",3,"66,67%","0,00%","33,33%"
20049,08/02/2014,24/08/2016,"3150,3982",3,"66,67%","0,00%","33,33%"
13602,08/02/2014,01/07/2016,"8376,28",8,"37,50%","12,50%","50,00%"
13661,08/02/2014,07/08/2016,"5913,24",4,"50,00%","0,00%","50,00%"
11030,08/02/2014,12/11/2016,"8791,31",4,"75,00%","25,00%","0,00%"
28068,09/02/2014,29/11/2016,"6021,82",4,"50,00%","25,00%","25,00%"
16658,09/02/2014,16/12/2016,"5873,26",2,"100,00%","0,00%","0,00%"
11035,09/02/2014,18/11/2016,"6451,31",5,"60,00%","0,00%","40,00%"
11046,09/02/2014,15/11/2016,"6616,81",6,"50,00%","16,67%","33,33%"
28031,10/02/2014,22/11/2016,"6047,32",4,"50,00%","25,00%","25,00%"
28076,10/02/2014,26/12/2016,"5997,33",3,"66,67%","0,00%","33,33%"
16685,10/02/2014,12/12/2016,"4183,23",5,"40,00%","0,00%","60,00%"
16745,10/02/2014,22/03/2016,"13351,67",2,"100,00%","0,00%","0,00%"
11038,10/02/2014,15/11/2016,"6437,33",3,"100,00%","0,00%","0,00%"
11039,10/02/2014,14/11/2016,"6636,58",9,"33,33%","22,22%","44,44%"
28040,11/02/2014,11/02/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28067,11/02/2014,21/11/2016,"5997,33",3,"66,67%","0,00%","33,33%"
28071,11/02/2014,12/12/2016,"5971,33",3,"66,67%","33,33%","0,00%"
16684,11/02/2014,03/12/2016,"4158,24",4,"50,00%","0,00%","50,00%"
16657,11/02/2014,08/12/2016,"5900,55",3,"66,67%","0,00%","33,33%"
21939,12/02/2014,11/04/2016,"7741,51",4,"50,00%","0,00%","50,00%"
28039,12/02/2014,12/02/2014,"7156,54",1,"100,00%","0,00%","0,00%"
13687,12/02/2014,29/08/2016,"11746,52",2,"100,00%","0,00%","0,00%"
13540,12/02/2014,28/07/2016,"12507,38",9,"33,33%","11,11%","55,56%"
28063,12/02/2014,04/11/2016,"9604,58",5,"40,00%","20,00%","40,00%"
16703,12/02/2014,07/02/2016,"9668,86",5,"40,00%","0,00%","60,00%"
28030,13/02/2014,23/11/2016,"19099,2",3,"66,67%","33,33%","0,00%"
14576,13/02/2014,12/07/2016,"5906,1528",3,"66,67%","0,00%","33,33%"
11048,13/02/2014,27/12/2016,"21247,06",8,"37,50%","25,00%","37,50%"
16664,13/02/2014,03/02/2016,"15912,04",3,"66,67%","0,00%","33,33%"
25271,13/02/2014,29/08/2016,"5107,3528",3,"66,67%","0,00%","33,33%"
28017,14/02/2014,14/02/2014,"3578,27",1,"100,00%","0,00%","0,00%"
13545,14/02/2014,14/12/2016,"12898,19",3,"66,67%","0,00%","33,33%"
13515,14/02/2014,29/12/2016,"5948,24",5,"40,00%","0,00%","60,00%"
28070,14/02/2014,11/12/2016,"5997,33",3,"66,67%","0,00%","33,33%"
28042,15/02/2014,15/02/2014,"3578,27",1,"100,00%","0,00%","0,00%"
11244,15/02/2014,20/07/2016,"7175,75",12,"33,33%","8,33%","58,33%"
28083,15/02/2014,27/12/2016,"8346,41",2,"100,00%","0,00%","0,00%"
25872,15/02/2014,26/06/2016,"5819,05",3,"66,67%","0,00%","33,33%"
16660,15/02/2014,14/12/2016,"12858,23",2,"100,00%","0,00%","0,00%"
16638,15/02/2014,16/12/2016,"5974,23",4,"50,00%","25,00%","25,00%"
16929,17/02/2014,26/06/2016,"4733,75",3,"66,67%","0,00%","33,33%"
27681,18/02/2014,18/02/2014,"3578,27",1,"100,00%","0,00%","0,00%"
21813,18/02/2014,26/12/2016,"4118,26",2,"100,00%","0,00%","0,00%"
27920,18/02/2014,10/11/2016,"13254,51",3,"66,67%","0,00%","33,33%"
28022,18/02/2014,18/02/2014,"3578,27",1,"100,00%","0,00%","0,00%"
11033,18/02/2014,08/11/2016,"13560,23",7,"42,86%","14,29%","42,86%"
28047,18/02/2014,18/02/2014,"3578,27",1,"100,00%","0,00%","0,00%"
27918,19/02/2014,29/11/2016,"9576,88",5,"40,00%","0,00%","60,00%"
28044,19/02/2014,19/02/2014,"7156,54",1,"100,00%","0,00%","0,00%"
